Archivo: ../pos/10000_8.txt, Es: Positivo, Negative: 8, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 4, Suma: -7
Archivo: ../pos/10001_10.txt, Es: Positivo, Negative: 1, Positive: 6, Very negative: 1, Very positive: 1, Neutral: 2, Suma: 5
Archivo: ../pos/10002_7.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -2
Archivo: ../pos/10003_8.txt, Es: Positivo, Negative: 2, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 3
Archivo: ../pos/10004_8.txt, Es: Positivo, Negative: 6, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -3
Archivo: ../pos/10005_7.txt, Es: Positivo, Negative: 2, Positive: 6, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 4
Archivo: ../pos/10006_7.txt, Es: Positivo, Negative: 13, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 4, Suma: -10
Archivo: ../pos/10007_7.txt, Es: Positivo, Negative: 10, Positive: 0, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -10
Archivo: ../pos/10008_7.txt, Es: Positivo, Negative: 7, Positive: 6, Very negative: 1, Very positive: 0, Neutral: 1, Suma: -3
Archivo: ../pos/10009_9.txt, Es: Positivo, Negative: 4, Positive: 6, Very negative: 0, Very positive: 1, Neutral: 4, Suma: 4
Archivo: ../pos/1000_8.txt, Es: Positivo, Negative: 1, Positive: 5, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 6
Archivo: ../pos/10010_7.txt, Es: Positivo, Negative: 5, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 5, Suma: -1
Archivo: ../pos/10011_9.txt, Es: Positivo, Negative: 7, Positive: 5, Very negative: 0, Very positive: 4, Neutral: 2, Suma: 6
Archivo: ../pos/10012_8.txt, Es: Positivo, Negative: 3, Positive: 4, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 5
Archivo: ../pos/10013_7.txt, Es: Positivo, Negative: 8, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -6
Archivo: ../pos/10014_8.txt, Es: Positivo, Negative: 4, Positive: 4, Very negative: 0, Very positive: 2, Neutral: 3, Suma: 4
Archivo: ../pos/10015_8.txt, Es: Positivo, Negative: 6, Positive: 3, Very negative: 1, Very positive: 1, Neutral: 0, Suma: -3
Archivo: ../pos/10016_8.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 2
Archivo: ../pos/10017_9.txt, Es: Positivo, Negative: 5, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -2
Archivo: ../pos/10018_8.txt, Es: Positivo, Negative: 5, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -1
Archivo: ../pos/10019_8.txt, Es: Positivo, Negative: 11, Positive: 12, Very negative: 0, Very positive: 0, Neutral: 10, Suma: 1
Archivo: ../pos/1001_8.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 1
Archivo: ../pos/10020_8.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 2, Very positive: 0, Neutral: 1, Suma: -5
Archivo: ../pos/10021_8.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -2
Archivo: ../pos/10022_7.txt, Es: Positivo, Negative: 1, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 4, Suma: 0
Archivo: ../pos/10023_9.txt, Es: Positivo, Negative: 2, Positive: 1, Very negative: 1, Very positive: 1, Neutral: 1, Suma: -1
